Image Path,LaTeX Label
.\cropped\im_ (1).jpg,y-y_1=m\times (x-x_1)
.\cropped\im_ (2).jpg,m=\frac{y_2-y_1}{x_2-x_1}
.\cropped\im_ (3).jpg,y=ax+b
.\cropped\im_ (4).jpg,y=2x+6
.\cropped\im_ (5).jpg,m=\frac{-a}{b}
.\cropped\im_ (6).jpg,m=\frac{-a}{b}
.\cropped\im_ (7).jpg,m=-\frac{3}{4}
.\cropped\im_ (8).jpg,3x+4y=6
.\cropped\im_ (9).jpg,y=2x+1
.\cropped\im_ (10).jpg,y=2\times x +3
.\cropped\im_ (11).jpg,m=m'
.\cropped\im_ (12).jpg,y=2x+1
.\cropped\im_ (13).jpg,y=-\frac{1}{2}x
.\cropped\im_ (14).jpg,mm'=-1
.\cropped\im_ (15).jpg,y=ax+17
.\cropped\im_ (16).jpg,y=-3x+1
.\cropped\im_ (17).jpg,"(3,-1)"
.\cropped\im_ (18).jpg,y=-\frac{3}{5}x+4
.\cropped\im_ (19).jpg,2y-4x=5
.\cropped\im_ (20).jpg,\left[\begin{matrix}1\\-1\\\end{matrix}\right]
.\cropped\im_ (21).jpg,\left[\begin{matrix}3\\2\\\end{matrix}\right]
.\cropped\im_ (22).jpg,\left[\begin{matrix}4\\-1\\\end{matrix}\right]
.\cropped\im_ (23).jpg,\left|x_B-x_A\right|
.\cropped\im_ (24).jpg,AB=\left|x_B-x_A\right|
.\cropped\im_ (25).jpg,"A=(2,0)"
.\cropped\im_ (26).jpg,"B=(-4,0)"
.\cropped\im_ (27).jpg,AB=\left|2-(-4)\right|=6
.\cropped\im_ (28).jpg,AB=\sqrt{(x_B-x_A)^2+(y_B-y_A)^2}
.\cropped\im_ (29).jpg,\left|y_B-y_A\right|
.\cropped\im_ (30).jpg,AB=\left|y_B-y_A\right|
.\cropped\im_ (31).jpg,\left|x_B-x_A\right|
.\cropped\im_ (32).jpg,x_\beta
.\cropped\im_ (33).jpg,x_A
.\cropped\im_ (34).jpg,"A=(2,2)"
.\cropped\im_ (35).jpg,"B=(4,4)"
.\cropped\im_ (36).jpg,AB=\sqrt{(4-2)^2+(4-2)^2}
